 ,CASE NUMBER,DATE RECEIVED,ACCOUNT NAME,ACCOUNT DBA NAME,NAICS CODE,CASE STATUS,CLAIM AMOUNT,AMOUNT ASSESSED,PAYMENTS RECEIVED
,2015-0412,2015-10-21,DUNKIN DONUTS                                               ,DUNKIN DONUTS                                               ,,CLOSED,704.41,0,426.88
,2015-0413,2015-10-21,ELLA'S FINE FOOD & DRINK                                    ,ELLA'S FINE FOOD & DRINK                                    ,,CLOSED,207,0,414
,2015-0414,2015-10-23,BLAZE VILLAGE KITCHEN                                       ,BLAZE VILLAGE KITCHEN                                       ,,CLOSED,489.45,0,489.45
,2015-0415,2015-10-28,C & A DESIGN & CONSTRUCTION                                 ,C & A DESIGN & CONSTRUCTION                                 ,,CLOSED,320,798.5,0
,2015-0416,2015-10-28,HAKS ENGINEERS P.C.                                         ,HAKS ENGINEERS P.C.                                         ,,CLOSED,4730.04,0,4730.04
,2015-0421,2015-10-28,COAST ELECTRIC                                              ,COAST ELECTRIC                                              ,,CLOSED,8495,0,0
,2015-0417,2015-10-29,GF ASSET MANAGEMENT LLC                                     ,GF ASSET MANAGEMENT LLC                                     ,,CLOSED,4807.69,0,4807.69
,2015-0418,2015-10-29,RIVERA SERVICE CORPORATION DBA LA HACIENDA RESTAURANT       ,RIVERA SERVICE CORPORATION DBA LA HACIENDA RESTAURANT       ,,CLOSED,16263,13200,0
,2015-0419,2015-10-29,RIVERA SERVICE CORPORATION DBA LA HACIENDA RESTAURANT       ,RIVERA SERVICE CORPORATION DBA LA HACIENDA RESTAURANT       ,,CLOSED,4392,3600,0
,2015-0420,2015-10-29,RIVERA SERVICE CORPORATION DBA LA HACIENDA RESTAURANT       ,RIVERA SERVICE CORPORATION DBA LA HACIENDA RESTAURANT       ,,CLOSED,16263,13200,0
,2015-0422,2015-11-02,NARA LLC                                                    ,NARA LLC                                                    ,,CLOSED,1845,5265,0
,2015-0425,2015-11-02,DIRTY BIRD STUDIOS                                          ,DIRTY BIRD STUDIOS                                          ,,CLOSED,477.57,0,0
,2015-0426,2015-11-06,PETRO-CYCLE SOLUTIONS                                       ,PETRO-CYCLE SOLUTIONS                                       ,,CLOSED,3527.5,0,2040
,2015-0430,2015-11-09,KING'S TOWING                                               ,KING'S TOWING                                               ,,CLOSED,420,0,420
,2015-0462,2015-11-10,AUMNI GROUP INC                                             ,AUMNI GROUP INC                                             ,,CLOSED,1800,0,0
,2015-0434,2015-11-13,KNIGHT FARM                                                 ,KNIGHT FARM                                                 ,,CLOSED,1425,0,0
,2015-0464,2015-11-17,RJ PUOPOLO & SONS INC                                       ,RJ PUOPOLO & SONS INC                                       ,,CLOSED,175,0,175
,2015-0465,2015-11-17,JOHNSON & WALES UNIVERSITY                                  ,JOHNSON & WALES UNIVERSITY                                  ,,CLOSED,2866.16,0,2852.31
,2015-0436,2015-11-20,DHARMA HEALING CENTER                                       ,DHARMA HEALING CENTER                                       ,,CLOSED,3875,0,0
,2015-0437,2015-11-23,HOPE GLOBAL                                                 ,HOPE GLOBAL                                                 ,,CLOSED,1846.98,0,1846.98
,2015-0438,2015-11-25,AGI CONSTRUCTION                                            ,AGI CONSTRUCTION                                            ,,CLOSED,552,0,552
,2015-0439,2015-11-25,CHAPTER ONE BAR AND GRILLE                                  ,CHAPTER ONE BAR AND GRILLE                                  ,,CLOSED,1200,0,429.93
,2015-0440,2015-11-25,DFG DONUTS INC (DUNKIN DONUTS)                              ,DFG DONUTS INC (DUNKIN DONUTS)                              ,,CLOSED,76.5,0,76.5
,2015-0441,2015-11-25,VALET CONNECTION                                            ,VALET CONNECTION                                            ,,CLOSED,9363,0,0
,2015-0455,2015-11-25,NORTH PROVIDENCE PRIMARY CARE / CENTER OF NE URGENT CARE    ,NORTH PROVIDENCE PRIMARY CARE / CENTER OF NE URGENT CARE    ,,CLOSED,730.72,2294.46,2294.46
,2015-0442,2015-11-27,DASHED INC                                                  ,DASHED INC                                                  ,,CLOSED,1386,1200,0
,2015-0443,2015-11-27,HP ENTERPRISE SERVICE / US PUBLIC                           ,HP ENTERPRISE SERVICE / US PUBLIC                           ,,CLOSED,5067.92,0,2910.86
,2015-0445,2015-11-27,GOGO MEDIA                                                  ,GOGO MEDIA                                                  ,,CLOSED,494.6,0,0
,2015-0446,2015-11-27,GOGO MEDIA                                                  ,GOGO MEDIA                                                  ,,CLOSED,2000,0,0
,2015-0449,2015-11-27,JOHNSTONE SUPPLY                                            ,JOHNSTONE SUPPLY                                            ,,CLOSED,684.37,0,467.5
,2015-0451,2015-11-30,EAST COMMERCE SOLUTIONS / WRITE TOUCH POS                   ,EAST COMMERCE SOLUTIONS / WRITE TOUCH POS                   ,,CLOSED,9500,0,2708.33
,2015-0453,2015-12-03,CHARLES KIRWAN LAW OFFICE                                   ,CHARLES KIRWAN LAW OFFICE                                   ,,CLOSED,631.25,0,0
,2015-0454,2015-12-03,NORTH PROVIDENCE PRIMARY CARE                               ,NORTH PROVIDENCE PRIMARY CARE                               ,,CLOSED,1384,1453.1,1453.1
,2015-0457,2015-12-04,PETRO CYCLE SOLUTIONS LLC                                   ,PETRO CYCLE SOLUTIONS LLC                                   ,,CLOSED,6000,0,8000
,2015-0466,2015-12-08,SYNRGY HEALTH & FITNESS LLC                                 ,SYNRGY HEALTH & FITNESS LLC                                 ,,CLOSED,445.17,0,445.17
,2015-0467,2015-12-08,PETRO-CYCLE SOLUTIONS                                       ,PETRO-CYCLE SOLUTIONS                                       ,,CLOSED,1775.5,0,2808
,2015-0468,2015-12-08,"PETRO-CYCLE SOLUTIONS, LLC                                  ","PETRO-CYCLE SOLUTIONS, LLC                                  ",,CLOSED,4384,0,6080
,2015-0469,2015-12-08,AUMNI GROUP INC (DMG CO ON COMPLAINT)                       ,AUMNI GROUP INC (DMG CO ON COMPLAINT)                       ,,CLOSED,2220.43,0,0
,2015-0495,2015-12-08,MIA MIA'S PIZZERIA                                          ,MIA MIA'S PIZZERIA                                          ,,CLOSED,300,0,300
,2015-0470,2015-12-09,BEST VALUE PARKING INC                                      ,BEST VALUE PARKING INC                                      ,,CLOSED,90,90,0
,2015-0472,2015-12-10,"K. MALONEY INDUSTRIES, INC.                                 ","K. MALONEY INDUSTRIES, INC.                                 ",,CLOSED,900,0,825
,2015-0473,2015-12-10,NARA LLC                                                    ,NARA LLC                                                    ,,CLOSED,92,0,139.6
,2015-0476,2015-12-11,REMODELING RIGHT                                            ,REMODELING RIGHT                                            ,,CLOSED,128,0,0
,2015-0498,2015-12-15,URELAX                                                      ,URELAX                                                      ,,CLOSED,1791,0,1791
,2015-0496,2015-12-16,"TERESA BAIROS, LMFT & ASSOCIATES LLC                        ","TERESA BAIROS, LMFT & ASSOCIATES LLC                        ",,CLOSED,6000,0,0
,2015-0482,2015-12-18,KYLFTIFF INVESTMENTS & CONSULTING LLC                       ,KYLFTIFF INVESTMENTS & CONSULTING LLC                       ,,CLOSED,916.5,0,52
,2015-0483,2015-12-18,A & M ENTITIES (BRISTOL SUBWAY)                             ,A & M ENTITIES (BRISTOL SUBWAY)                             ,,CLOSED,420,0,250
,2015-0484,2015-12-21,NETCENTERGY LLC                                             ,NETCENTERGY LLC                                             ,,CLOSED,5851,0,5851
,2015-0485,2015-12-22,SWIFT MORRIS INTERIORS                                      ,SWIFT MORRIS INTERIORS                                      ,,CLOSED,750,0,750
,2015-0486,2015-12-23,"VINCENT PORCARO, INC.                                       ","VINCENT PORCARO, INC.                                       ",,CLOSED,480,0,480
,2015-0487,2015-12-24,ELITE CONSTRUCTION SOLUTIONS LLC                            ,ELITE CONSTRUCTION SOLUTIONS LLC                            ,,CLOSED,972,0,0
,2015-0490,2015-12-28,E.C.I. (ELITE CONSULTING INC)                               ,E.C.I. (ELITE CONSULTING INC)                               ,,CLOSED,578.5,0,480.84
,2016-0031,2015-12-28,GERALDO AVENDANO                                            ,GERALDO AVENDANO                                            ,,CLOSED,500,0,500
,2015-0491,2015-12-30,DIRTY WATER PUB                                             ,DIRTY WATER PUB                                             ,,CLOSED,567,0,567
,2015-0494,2015-12-31,ZEN REAL ESTATE GROUP                                       ,ZEN REAL ESTATE GROUP                                       ,,CLOSED,3000,2000,500
,2015-0367,2016-01-01,T.R.L. SERVICES LLC                                         ,T.R.L. SERVICES LLC                                         ,,CLOSED,1380,0,0
,2016-0003,2016-01-04,SECURITAS SECURITY SERVICES USA INC                         ,SECURITAS SECURITY SERVICES USA INC                         ,,CLOSED,648,0,446.88
,2016-0009,2016-01-04,NURSING PLACEMENT                                           ,NURSING PLACEMENT                                           ,,CLOSED,3200,0,0
,2016-0010,2016-01-04,VILLA DOLCE VITA INC                                        ,VILLA DOLCE VITA INC                                        ,,CLOSED,3696,399.04,399.04
,2016-0004,2016-01-06,MO TRANSPORTATION                                           ,MO TRANSPORTATION                                           ,,CLOSED,5306,0,0
,2016-0005,2016-01-06,"SECURITAS SECURITY SERVICES USA, INC.                       ","SECURITAS SECURITY SERVICES USA, INC.                       ",,CLOSED,7000,0,5274.5
,2016-0013,2016-01-06,PETRO-CYCLE SOLUTIONS LLC                                   ,PETRO-CYCLE SOLUTIONS LLC                                   ,,CLOSED,5600,0,7600
,2016-0014,2016-01-07,M & S LANDSCAPING LLC                                       ,M & S LANDSCAPING LLC                                       ,,CLOSED,480,0,480
,2016-0015,2016-01-07,LA NUOVA PIZZERIA                                           ,LA NUOVA PIZZERIA                                           ,,CLOSED,250,0,135
,2016-0007,2016-01-08,"SECURITAS SECURITY SERVICES USA, INC.                       ","SECURITAS SECURITY SERVICES USA, INC.                       ",,CLOSED,3000,0,1941.85
,2016-0017,2016-01-11,LITTLE CEASARS PIZZA / G & H ENTERPRISES                    ,LITTLE CEASARS PIZZA / G & H ENTERPRISES                    ,,CLOSED,1500,0,0
,2016-0018,2016-01-11,"ANTHONY'S BUILDING CO, INC.                                 ","ANTHONY'S BUILDING CO, INC.                                 ",,CLOSED,5088,0,0
,2016-0019,2016-01-11,AIS CONTRACTING LLC                                         ,AIS CONTRACTING LLC                                         ,,CLOSED,1928,0,0
,2016-0021,2016-01-11,DEPENDABLE & AFFORDABLE CLEANING INC                        ,DEPENDABLE & AFFORDABLE CLEANING INC                        ,,CLOSED,607.5,0,607.5
,2016-0022,2016-01-11,DEPENDABLE & AFFORDABLE CLEANING INC                        ,DEPENDABLE & AFFORDABLE CLEANING INC                        ,,CLOSED,375,0,375
,2016-0023,2016-01-11,DEPENDABLE & AFFORDABLE CLEANING INC                        ,DEPENDABLE & AFFORDABLE CLEANING INC                        ,,CLOSED,255,0,255
,2016-0024,2016-01-13,LITTLE CAESARS                                              ,LITTLE CAESARS                                              ,,CLOSED,582.26,0,0
,2016-0025,2016-01-13,OPT LLC (OPT EYEWARE BOUTIQUE LLC ?)                        ,OPT LLC (OPT EYEWARE BOUTIQUE LLC ?)                        ,,CLOSED,1092,0,586
,2016-0029,2016-01-13,VALET CONNECTION                                            ,VALET CONNECTION                                            ,,CLOSED,339.57,0,0
,2016-0027,2016-01-14,A SACCOCIA'S CONSTRUCTION                                   ,A SACCOCIA'S CONSTRUCTION                                   ,,CLOSED,90,0,90
,2016-0028,2016-01-14,KOI PALACE LLC                                              ,KOI PALACE LLC                                              ,,CLOSED,2479.84,1114.81,969.4
,2016-0030,2016-01-19,VALET CONNECTION                                            ,VALET CONNECTION                                            ,,CLOSED,1028.06,0,0
,2016-0041,2016-01-21,SHELTER HARBOR INN                                          ,SHELTER HARBOR INN                                          ,,CLOSED,230.77,0,0
,2016-0042,2016-01-21,BLOSSOM LAUNDRY DBA SHOWCASE LAUNDROMAT                     ,BLOSSOM LAUNDRY DBA SHOWCASE LAUNDROMAT                     ,,CLOSED,267.9,0,267.9
,2016-0043,2016-01-22,COMFORT HOME CARE                                           ,COMFORT HOME CARE                                           ,,CLOSED,327.17,0,330.63
,2016-0147,2016-01-22,SODEXO INC                                                  ,SODEXO INC                                                  ,,CLOSED,1440,803.08,0
,2016-0045,2016-01-25,DENT PLUS DENTAL CENTER                                     ,DENT PLUS DENTAL CENTER                                     ,,CLOSED,1500,0,0
,2016-0047,2016-01-26,GREYSTONE OF LINCOLN                                        ,GREYSTONE OF LINCOLN                                        ,,CLOSED,1142.4,0,0
,2016-0062,2016-01-28,ACOMM INC                                                   ,ACOMM INC                                                   ,,CLOSED,7250,0,500
,2016-0048,2016-01-29,LIBERTY CLEANING INC                                        ,LIBERTY CLEANING INC                                        ,,CLOSED,120,0,120
,2016-0156,2016-01-29,"THE LAW OFFICE OF EDWARD G. LAWSON, JR.                     ","THE LAW OFFICE OF EDWARD G. LAWSON, JR.                     ",,CLOSED,2448.6,0,0
,2016-0049,2016-02-01,UPS                                                         ,UPS                                                         ,,CLOSED,65.65,0,0
,2016-0064,2016-02-01,PERFORMANCE PHYSICAL THERAPY                                ,PERFORMANCE PHYSICAL THERAPY                                ,,CLOSED,1883.08,0,1883.08
,2016-0050,2016-02-03,URBAN LEAGUE OF RHODE ISLAND                                ,URBAN LEAGUE OF RHODE ISLAND                                ,,CLOSED,9519.24,0,1522.8
,2016-0051,2016-02-04,TILLINGERS AT WATERPLACE                                    ,TILLINGERS AT WATERPLACE                                    ,,CLOSED,416,0,416
,2016-0068,2016-02-04,SAFARI MODEL AND TALENT                                     ,SAFARI MODEL AND TALENT                                     ,,CLOSED,40,0,40
,2016-0052,2016-02-05,"ABLE COMPANY, INC                                           ","ABLE COMPANY, INC                                           ",,CLOSED,2884.62,0,0
,2016-0054,2016-02-10,THE GINGERBREAD HOUSE PRESCHOOL                             ,THE GINGERBREAD HOUSE PRESCHOOL                             ,,CLOSED,521.08,0,433.13
,2016-0055,2016-02-12,DR. FRANK MAGGIACOMO                                        ,DR. FRANK MAGGIACOMO                                        ,,CLOSED,4332.47,1309.37,1027.18
,2016-0061,2016-02-12,"CAPITOL COURT REPORTING, INC.                               ","CAPITOL COURT REPORTING, INC.                               ",,CLOSED,5937.36,0,0
,2016-0069,2016-02-12,PROVIDENCE SKY CHIEFS LLC                                   ,PROVIDENCE SKY CHIEFS LLC                                   ,,CLOSED,15346.24,22841,0
,2016-0057,2016-02-18,VENETIAN TANS INC                                           ,VENETIAN TANS INC                                           ,,CLOSED,271.89,0,288
,2016-0058,2016-02-22,ATLANTIC FOOTCARE INC                                       ,ATLANTIC FOOTCARE INC                                       ,,CLOSED,440,0,0
,2016-0060,2016-02-22,MEADOWBROOK LANES INC                                       ,MEADOWBROOK LANES INC                                       ,,CLOSED,17.8,0,17.8
,2016-0073,2016-02-22,JAGG CONSTRUCTION                                           ,JAGG CONSTRUCTION                                           ,,CLOSED,350,0,350.25
,2016-0074,2016-02-22,PERFORMANCE PHYSICAL THERAPY                                ,PERFORMANCE PHYSICAL THERAPY                                ,,CLOSED,1679.45,0,1679.45
,2016-0076,2016-02-24,LUCKY'S AMERICAN BAR & GRILLE                               ,LUCKY'S AMERICAN BAR & GRILLE                               ,,CLOSED,217.5,0,225
,2016-0078,2016-02-25,DR. ALBERT J MARANO                                         ,DR. ALBERT J MARANO                                         ,,CLOSED,220,0,220
,2016-0079,2016-02-25,LACOMB ENTERPRISES                                          ,LACOMB ENTERPRISES                                          ,,CLOSED,462,0,0
,2016-0081,2016-02-29,LACOMB ENTERPRISES                                          ,LACOMB ENTERPRISES                                          ,,CLOSED,213.6,0,0
,2016-0082,2016-02-29,LACOMB ENTERPRISES                                          ,LACOMB ENTERPRISES                                          ,,CLOSED,600,0,0
,2016-0091,2016-02-29,UPS                                                         ,UPS                                                         ,,CLOSED,82.5,0,72.82
,2016-0088,2016-03-07,"BENRUS, LLC                                                 ","BENRUS, LLC                                                 ",,CLOSED,10725,0,10725
,2016-0089,2016-03-07,CARPIONATO GROUP                                            ,CARPIONATO GROUP                                            ,,CLOSED,182,0,174
,2016-0090,2016-03-09,BLACKIES BULLDOG TAVERN                                     ,BLACKIES BULLDOG TAVERN                                     ,,CLOSED,180.63,0,180.63
,2016-0097,2016-03-14,"JS PALLET CO., INC.                                         ","JS PALLET CO., INC.                                         ",,CLOSED,472,0,472
,2016-0098,2016-03-14,DOWNING PARTNERS                                            ,DOWNING PARTNERS                                            ,,CLOSED,3120,0,3120
,2016-0100,2016-03-14,JOHN WOODARD                                                ,JOHN WOODARD                                                ,,CLOSED,7057.37,0,0
,2016-0101,2016-03-15,JOSE LUIS PAZ                                               ,JOSE LUIS PAZ                                               ,,CLOSED,160,160,0
,2016-0105,2016-03-15,FIRST CARD CO.                                              ,FIRST CARD CO.                                              ,,CLOSED,680,0,680
,2016-0175,2016-03-15,OAK HILL FARM LLC                                           ,OAK HILL FARM LLC                                           ,,CLOSED,630,0,440
,2016-0102,2016-03-16,HURD AUTO MALL                                              ,HURD AUTO MALL                                              ,,CLOSED,481.31,0,537.5
,2016-0103,2016-03-17,SENIOR HELPERS                                              ,SENIOR HELPERS                                              ,,CLOSED,504,0,504
,2016-0104,2016-03-21,JALLIAM TRANSPORTATION                                      ,JALLIAM TRANSPORTATION                                      ,,CLOSED,2100,0,1750
,2016-0107,2016-03-21,JOSE LUIS PAZ CONSTRUCTION                                  ,JOSE LUIS PAZ CONSTRUCTION                                  ,,CLOSED,781,1600,0
,2016-0114,2016-03-23,GREYSTONE OF LINCOLN                                        ,GREYSTONE OF LINCOLN                                        ,,CLOSED,1120,0,0
,2016-0117,2016-03-24,ELVIN MARTINEZ                                              ,ELVIN MARTINEZ                                              ,,CLOSED,1374,0,2374
,2016-0108,2016-03-28,QUEENIE'S DECK                                              ,QUEENIE'S DECK                                              ,,CLOSED,556,0,490
,2016-0109,2016-03-28,YMCA                                                        ,YMCA                                                        ,,CLOSED,273.6,0,220.42
,2016-0110,2016-03-28,BANK OF AMERICA                                             ,BANK OF AMERICA                                             ,,CLOSED,1050.82,5438.44,5438.44
,2016-0132,2016-03-28,SPECTRUM REC                                                ,SPECTRUM REC                                                ,,CLOSED,183,0,153
,2016-0119,2016-04-04,JOSE FAMILY CONSTRUCTION                                    ,JOSE FAMILY CONSTRUCTION                                    ,,CLOSED,949.5,0,949.5
,2016-0120,2016-04-04,JOSE FAMILY CONSTRUCTION                                    ,JOSE FAMILY CONSTRUCTION                                    ,,CLOSED,922.5,0,922.5
,2016-0112,2016-04-05,DIMICCO'S AUTHENTIC ITALIAN EATERY                          ,DIMICCO'S AUTHENTIC ITALIAN EATERY                          ,,CLOSED,1000,0,1000
,2016-0113,2016-04-05,APPLEBAUM LAW OFFICES                                       ,APPLEBAUM LAW OFFICES                                       ,,CLOSED,900,0,0
,2016-0133,2016-04-06,"BRAVENS, INC.                                               ","BRAVENS, INC.                                               ",,CLOSED,320,0,3200
,2016-0121,2016-04-11,BURGER BAR INC                                              ,BURGER BAR INC                                              ,,CLOSED,600,0,426
,2016-0122,2016-04-11,UPS GROUND FREIGHT                                          ,UPS GROUND FREIGHT                                          ,,CLOSED,3096.8,0,0
,2016-0126,2016-04-13,OAK HILL NURSING & REHABILITATION                           ,OAK HILL NURSING & REHABILITATION                           ,,CLOSED,1395.2,0,1395.42
,2016-0127,2016-04-13,R. P. MORRISON COMPANY                                      ,R. P. MORRISON COMPANY                                      ,,CLOSED,6427,1000,0
,2016-0129,2016-04-18,CENTRAL TURF & IRRIGATION SUPPLY                            ,CENTRAL TURF & IRRIGATION SUPPLY                            ,,CLOSED,3355.08,1295.62,0
,2016-0130,2016-04-18,THE MALTED BARLEY OF PROVIDENCE                             ,THE MALTED BARLEY OF PROVIDENCE                             ,,CLOSED,470.4,0,470.4
,2016-0135,2016-04-22,RHODE ISLAND BILLIARDS BAR & BISTRO (RI BILLIARD CLUB)      ,RHODE ISLAND BILLIARDS BAR & BISTRO (RI BILLIARD CLUB)      ,,CLOSED,357.29,359.29,357.29
,2016-0136,2016-04-26,"RHODE ISLAND SPINE CENTER, INC.                             ","RHODE ISLAND SPINE CENTER, INC.                             ",,CLOSED,2280,0,2280
,2016-0137,2016-04-27,CLEARVIEW CLEANING SERVICES                                 ,CLEARVIEW CLEANING SERVICES                                 ,,CLOSED,330,0,220
,2016-0138,2016-04-28,FRANK BRUNO JR                                              ,FRANK BRUNO JR                                              ,,CLOSED,3500,0,3500
,2016-0139,2016-04-29,MULCH N MORE INC.                                           ,MULCH N MORE INC.                                           ,,CLOSED,659,0,666
,2016-0143,2016-05-02,"A & F PLATING, INC.                                         ","A & F PLATING, INC.                                         ",,CLOSED,174.5,0,195.51
,2016-0144,2016-05-02,NAPPA CONSTRUCTION MANAGEMENT LLC                           ,NAPPA CONSTRUCTION MANAGEMENT LLC                           ,,CLOSED,16395,0,0
,2016-0145,2016-05-02,FLOORS TODAY LLC                                            ,FLOORS TODAY LLC                                            ,,CLOSED,1880.76,0,0
,2016-0146,2016-05-03,DOHERTY'S ALE HOUSE - LAKESIDE                              ,DOHERTY'S ALE HOUSE - LAKESIDE                              ,,CLOSED,5860.48,0,0
,2016-0150,2016-05-04,"MCDONALDS (KRISTIN FOODS, INC)                              ","MCDONALDS (KRISTIN FOODS, INC)                              ",,CLOSED,86.4,0,0
,2016-0151,2016-05-05,SYNRGY HEALTH & FITNESS LLC                                 ,SYNRGY HEALTH & FITNESS LLC                                 ,,CLOSED,611.42,0,469.33
,2016-0152,2016-05-05,M.W. ARAGAO                                                 ,M.W. ARAGAO                                                 ,,CLOSED,1814.02,0,0
,2016-0189,2016-05-05,CENTRE REALTY                                               ,CENTRE REALTY                                               ,,CLOSED,100,0,0
,2016-0160,2016-05-09,BRANCH FLOOR COVERING INC                                   ,BRANCH FLOOR COVERING INC                                   ,,CLOSED,267.35,20,0
,2016-0153,2016-05-10,NORTH PROVIDENCE PRIMARY CARE                               ,NORTH PROVIDENCE PRIMARY CARE                               ,,CLOSED,78.27,104.37,104.37
,2016-0154,2016-05-10,RICHMOND MOTOR SALES & RENTAL INC                           ,RICHMOND MOTOR SALES & RENTAL INC                           ,,CLOSED,1120,1568,1568
,2016-0180,2016-05-16,THE FOGARTY CENTER                                          ,THE FOGARTY CENTER                                          ,,CLOSED,9916.5,0,7000
,2016-0163,2016-05-17,VALET CONNECTION INC                                        ,VALET CONNECTION INC                                        ,,CLOSED,1700,0,250
,2016-0164,2016-05-18,COUNTY CORK IRISH PUB LLC                                   ,COUNTY CORK IRISH PUB LLC                                   ,,CLOSED,64.65,0,64.65
,2016-0165,2016-05-18,BISTRO 9                                                    ,BISTRO 9                                                    ,,CLOSED,1057.69,0,0
,2016-0166,2016-05-18,LITTLE CAESARS                                              ,LITTLE CAESARS                                              ,,CLOSED,762.69,0,0
,2016-0168,2016-05-19,ULTIMATE BAR AND GRILL                                      ,ULTIMATE BAR AND GRILL                                      ,,CLOSED,399,378,0
,2016-0169,2016-05-19,SANTANDER BANK                                              ,SANTANDER BANK                                              ,,CLOSED,3250,0,0
,2016-0177,2016-05-19,PROVIDENCE SKY CHIEFS LLC                                   ,PROVIDENCE SKY CHIEFS LLC                                   ,,CLOSED,64426.22,0,0
,2016-0181,2016-05-20,PERFORMANCE CYCLE CENTER                                    ,PERFORMANCE CYCLE CENTER                                    ,,CLOSED,250,250,0
,2016-0183,2016-05-23,PRIMIER                                                     ,PRIMIER                                                     ,,CLOSED,1622,0,0
,2016-0173,2016-05-24,ELECTROLIZING INC                                           ,ELECTROLIZING INC                                           ,,CLOSED,748,0,748
,2016-0174,2016-05-25,LORUSSO'S NEWPORT                                           ,LORUSSO'S NEWPORT                                           ,,CLOSED,748,847.09,0
,2016-0176,2016-05-25,RI CENTER ASSISTING THOSE IN NEED                           ,RI CENTER ASSISTING THOSE IN NEED                           ,,CLOSED,8093.92,0,0
,2016-0200,2016-05-27,ASSOCIATED SUPERMARKET/ P-TOWN                              ,ASSOCIATED SUPERMARKET/ P-TOWN                              ,,CLOSED,9396,16171,13171
,2016-0178,2016-05-31,"GREYSTONE OF LINCOLN, INC.                                  ","GREYSTONE OF LINCOLN, INC.                                  ",,CLOSED,1067.5,0,0
,2016-0179,2016-05-31,DEATON LAW                                                  ,DEATON LAW                                                  ,,CLOSED,900,0,1211.54
,2016-0185,2016-06-01,PERFORMANCE PHYSICAL THERAPY                                ,PERFORMANCE PHYSICAL THERAPY                                ,,CLOSED,16268.39,0,16268.39
,2016-0186,2016-06-01,"CALDWELL & JOHNSON, INC.                                    ","CALDWELL & JOHNSON, INC.                                    ",,CLOSED,2000,1562.25,0
,2016-0187,2016-06-02,M & M COMMUNICATIONS INC                                    ,M & M COMMUNICATIONS INC                                    ,,CLOSED,600,0,360
,2016-0188,2016-06-03,C & C FIBERGLASS COMPONENTS INC.                            ,C & C FIBERGLASS COMPONENTS INC.                            ,,CLOSED,1680,0,0
,2016-0190,2016-06-03,"LANGWAY TOYOTA OF NEWPORT, INC.                             ","LANGWAY TOYOTA OF NEWPORT, INC.                             ",,CLOSED,1499.79,0,549.16
,2016-0192,2016-06-06,LORUSSO'S                                                   ,LORUSSO'S                                                   ,,CLOSED,772.2,772.7,0
,2016-0196,2016-06-06,HOLLISTON LOGISTICS LLC                                     ,HOLLISTON LOGISTICS LLC                                     ,,CLOSED,2400,0,1333.4
,2016-0341,2016-06-06,OCEAN STATE HOUSE CLEANING                                  ,OCEAN STATE HOUSE CLEANING                                  ,,CLOSED,800,0,0
,2016-0199,2016-06-09,PROSPECT STAFFING INC                                       ,PROSPECT STAFFING INC                                       ,,CLOSED,317.06,0,317.06
,2016-0201,2016-06-13,SHELTER HARBOR INN                                          ,SHELTER HARBOR INN                                          ,,CLOSED,228.3,0,0
,2016-0202,2016-06-13,"THE NEUROLOGY FOUNDATION, INC.                              ","THE NEUROLOGY FOUNDATION, INC.                              ",,CLOSED,24898,0,0
,2016-0207,2016-06-14,RONNIE'S TOWING & RECOVERY LLC                              ,RONNIE'S TOWING & RECOVERY LLC                              ,,CLOSED,193.63,222.27,193.63
,2016-0191,2016-06-16,HONEY DEW DONUTS (CST DONUTS INC)                           ,HONEY DEW DONUTS (CST DONUTS INC)                           ,,CLOSED,223.2,85.01,323.92
,2016-0208,2016-06-17,OAK HILL FARM LLC                                           ,OAK HILL FARM LLC                                           ,,CLOSED,160,0,160
,2016-0209,2016-06-20,SIMMERING SOUP KITCHEN LLC                                  ,SIMMERING SOUP KITCHEN LLC                                  ,,CLOSED,813,0,0
,2016-0211,2016-06-20,PLANET FITNESS                                              ,PLANET FITNESS                                              ,,CLOSED,425.5,477.13,0
,2016-0212,2016-06-20,DELUXE CLEANERS                                             ,DELUXE CLEANERS                                             ,,CLOSED,312.5,0,312.5
,2016-0214,2016-06-21,ATLANTIC PRODUCE INC                                        ,ATLANTIC PRODUCE INC                                        ,,CLOSED,910,0,0
,2016-0217,2016-06-24,THE GODDARD SCHOOL                                          ,THE GODDARD SCHOOL                                          ,,CLOSED,462,0,462
,2016-0218,2016-06-24,M & M TANSPORT LLC                                          ,M & M TANSPORT LLC                                          ,,CLOSED,880,0,0
,2016-0222,2016-06-27,HOPE VILLAGE KITCHEN LLC                                    ,HOPE VILLAGE KITCHEN LLC                                    ,,CLOSED,316.27,316.27,0
,2016-0224,2016-06-28,"SHIMMER SALON AND DAY SPA, INC.                             ","SHIMMER SALON AND DAY SPA, INC.                             ",,CLOSED,2340,2480,1540
,2016-0225,2016-06-29,2ND STORY THEATRE                                           ,2ND STORY THEATRE                                           ,,CLOSED,609.61,0,609.91
,2016-0226,2016-06-29,PROSPECT STAFFING INC                                       ,PROSPECT STAFFING INC                                       ,,CLOSED,244.39,0,244.39
,2016-0227,2016-06-29,PROSPECT STAFFING INC                                       ,PROSPECT STAFFING INC                                       ,,CLOSED,313.96,0,313.96
,2016-0228,2016-06-29,PROSPECT STAFFING INC                                       ,PROSPECT STAFFING INC                                       ,,CLOSED,265.96,0,265.96
